400,990,890,980,850,710,830,860,900,840,900,900,800,680,610,710,580,490,580,630,690,710,690,710,790,780,920,1050,1070,1240,1970,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,8,imgs/p1716297390.jpg,动作;奇幻;冒险,进口特种,169,2013,38079,霍比特人1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,imgs/p1348910586.jpg,剧情;喜剧;爱情,进口,110,2012,43776,那些年，我们一起追的女孩
0,800,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,800,1066,1066,1066,1333,1600,1866,2000,2533,2266,2533,3066,3866,4400,5333,5600,7466,11600,25600,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,6,8,56,8,6,45,69,83,67,85,imgs/p678366194.jpg,动作;科幻;灾难,进口,94,2011,2930,天际浩劫
0,26,80,133,106,80,80,26,80,80,80,106,80,80,80,80,80,80,106,80,80,80,80,80,80,106,600,693,893,1013,2613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,imgs/p2033931285.jpg,动画;儿童;冒险,国产,103,2013,2182,赛尔号大电影3之战神联盟
0,600,600,600,1200,1200,1800,3000,3000,4200,3299,4200,4500,4800,5100,5100,5700,9900,17400,17100,11100,12000,13800,15000,19800,28800,28200,20400,21899,27600,55800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,imgs/p1835975583.jpg,喜剧;动画;家庭;冒险,国产,86,2013,1880,喜羊羊与灰太狼之喜气羊羊过蛇年
0,933,933,933,1400,933,7233,7466,6066,4433,3966,4900,3966,2566,2333,1866,1866,1866,1866,1866,2333,2333,4200,5366,6300,5833,7700,14466,15166,24266,47833,8,20,17,17,17,17,24,30,27,24,20,20,24,24,24,27,24,17,17,20,17,20,24,27,161,33,24,33,78,36,88,imgs/p2252471054.jpg,剧情;喜剧,国产,134,2015,10999,我是路人甲
0,8000,10000,10000,8000,10000,12000,11000,10000,12000,18000,21000,17000,15000,15000,15000,18000,17000,19000,21000,17000,21000,25000,27000,27000,37000,50000,52000,56000,71000,155000,28,60,60,60,52,52,52,52,60,60,60,52,52,52,52,52,60,52,52,52,60,68,52,116,148,68,60,236,196,428,300,imgs/p2188112867.jpg,喜剧;爱情,国产,116,2014,12505,分手大师
10000,15333,15333,18000,18000,26000,26000,28666,30000,30000,27333,26000,26000,23333,28666,30000,39333,38000,56666,50000,46000,43333,40666,48666,59333,66000,71333,76666,82000,104666,224666,88,328,328,184,160,160,160,208,160,160,304,184,160,160,160,376,184,160,160,760,208,160,760,1096,664,592,280,424,328,520,1216,imgs/p2068159718.jpg,剧情;爱情;古装,国产,115,2013,4768,宫锁沉香
0,2666,2666,4000,4000,4000,4000,4000,9333,6000,4000,4000,4000,4000,4000,8000,5333,6666,6666,6666,8000,8000,10666,12666,18000,24666,25333,32000,48666,56000,100666,138,242,354,362,202,218,258,266,394,250,322,234,202,354,346,314,282,290,242,162,306,354,402,370,546,274,290,466,370,370,434,imgs/p2160637375.jpg,动作;犯罪,国产,109,2013,6413,风暴
0,333,333,333,333,333,333,333,333,1333,1666,2000,1666,1666,2333,2000,2000,2500,3833,4166,5500,7333,7666,6333,7000,7000,7333,8000,9166,12333,31333,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,imgs/p1858018022.jpg,剧情;奇幻;冒险,进口分账,114,2013,6084,巨人捕手杰克
0,666,666,666,666,666,666,666,666,666,666,666,1000,1000,1000,1000,1000,1333,1000,1000,1333,1333,1666,1333,1666,2000,2833,3166,4500,7666,29166,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,7,6,7,6,8,8,6,6,6,7,9,10,10,8,imgs/p989955567.jpg,剧情;动作;惊悚;犯罪,进口,108,2013,6116,致命黑兰
5000,7000,7666,7666,8333,6333,6333,6333,6333,6333,6333,6333,6333,5666,5666,7000,7000,7666,7666,7666,7666,7666,9000,10666,11333,12000,14000,17000,20000,31000,69000,544,1024,904,1024,904,904,904,1024,1024,904,904,904,904,904,904,1144,904,904,1024,1024,1144,1264,904,1024,1024,1024,1264,1024,1504,6544,6664,imgs/p1906782732.jpg,动作;科幻;冒险,进口分账,100,2013,7078,重返地球
0,666,1333,1666,1333,1000,1000,1666,1333,2000,1833,1666,2000,2000,1666,2000,1666,1666,1666,1666,2333,2500,2500,2833,2833,3166,3833,3833,7000,11833,30333,49,61,69,73,65,61,61,65,65,69,65,65,65,73,69,69,65,69,61,61,77,73,69,69,73,65,65,213,253,209,221,imgs/p2208596562.jpg,剧情;悬疑,国产,104,2014,2892,全城通缉
0,9333,8666,7333,6666,8000,7333,6666,6666,5333,6666,8000,8000,8000,10666,12666,15333,15333,15333,16666,16666,15333,15333,19333,22000,24000,57333,64000,70000,67333,104000,19,55,75,59,67,75,43,55,67,43,67,87,43,51,31,31,43,39,39,139,63,35,39,87,95,119,223,79,107,107,131,imgs/p1374419043.jpg,剧情;动作;犯罪;惊悚,国产,122,2012,5275,逆战
0,6000,10000,8000,8000,8000,6000,4000,6000,8000,8000,8000,8000,8000,6000,8000,12000,12000,12000,18000,15000,17000,17000,19000,17000,21000,31000,66000,63000,84000,205000,38,74,74,74,74,206,86,74,74,74,74,74,74,74,74,74,86,86,86,182,86,182,110,230,86,86,266,650,290,302,290,imgs/p1959304567.jpg,剧情,国产,112,2013,28546,中国合伙人
0,2000,2000,2000,4000,38000,29000,6000,4000,4000,2000,4000,4000,2000,4000,4000,6000,6000,6000,6000,10000,16000,23000,23000,21000,21000,21000,31000,33000,44000,152000,34,46,46,46,46,114,62,50,46,50,46,50,46,50,46,50,50,46,46,46,50,54,134,94,54,54,46,58,74,98,234,imgs/p2006855292.jpg,喜剧;动作;爱情;歌舞,国产,117,2013,12583,天台爱情
0,12000,12666,12666,11333,13333,16666,15333,16666,15333,16666,16666,12666,14000,10000,12000,11333,20666,24666,16000,14000,18000,20666,20666,19333,18000,24666,29333,34666,48666,133333,88,164,112,100,100,100,104,108,104,104,100,100,100,104,104,104,192,104,100,104,196,116,100,100,100,164,112,240,288,204,224,imgs/p1916743333.jpg,爱情,国产,103,2013,16134,分手合约
